Theta, Alpha, Low_beta, High_beta, Gamma, Channel
0.511291338,0.723094854,0.321238077,0.468040787,0.400588149,IED_O1
2.65550935,4.194784861,11.693653,12.91090573,11.18183328,IED_AF3
5.229761897,4.668165516,6.093284223,4.0065521,2.370722065,IED_AF4
6.900484709,3.667633529,0.865982981,1.886831984,1.786710976,IED_T7
1.350135247,2.30152432,3.496328711,4.487958076,2.288275164,IED_T8
0.641749863,0.536909368,0.296807481,0.360804011,0.500873298,IED_O1
2.393491677,5.710719512,11.29139662,5.952415396,5.469844823,IED_AF3
3.737423674,6.591806233,7.859850381,4.46245193,2.3178315,IED_AF4
7.948557203,7.05789776,2.4072849,2.597292992,1.198219939,IED_T7
3.276745169,5.200795781,7.83443444,5.229338241,2.631230058,IED_T8
0.607170018,0.482273894,0.290883996,0.186260726,0.507709078,IED_O1
2.118262929,7.386133758,9.311653904,4.934073302,3.705294332,IED_AF3
1.275743456,9.947753857,11.17832016,3.567060211,1.775007098,IED_AF4
7.2343652,3.295818599,2.435907781,3.047978568,0.837414888,IED_T7
2.678352233,5.911279671,9.965499374,3.682820544,2.257749796,IED_T8
0.53531688,0.678578308,0.36987874,0.23346906,0.440336896,IED_O1
2.35327915,6.631539494,5.011775151,3.609725699,2.838380409,IED_AF3
1.772763808,10.28970926,7.018203256,3.954971112,1.58416596,IED_AF4
2.64934288,2.895867479,0.680965688,2.177673939,1.03025018,IED_T7
2.364366186,6.385783842,6.066888171,3.109133591,1.730565904,IED_T8
0.419767776,0.643572724,0.572465974,0.424675362,0.331087157,IED_O1
2.858873099,10.09568474,6.704092475,1.830366053,3.205856466,IED_AF3
3.677068728,12.20334457,4.495807896,3.531615147,1.973816477,IED_AF4
1.444190598,5.201611379,2.138386163,1.083014316,1.166059492,IED_T7
3.80830588,8.709232917,4.507090712,2.043998901,1.90287439,IED_T8
0.314938624,0.678144355,0.6555721,0.377299707,0.294972885,IED_O1
1.407477164,7.041162263,5.998032244,3.311716644,3.408392177,IED_AF3
2.156313072,8.532126092,3.131283248,4.489625227,2.685714595,IED_AF4
3.063680099,3.206959737,3.323867704,1.215949934,1.481415513,IED_T7
2.387351483,5.312443707,3.554270997,3.069382244,2.872535715,IED_T8
0.266448504,0.416303657,0.4295405,0.32301739,0.384449696,IED_O1
